,2020-05-26
95,盖世事事儿：我爸最近在住院，因为护士测血糖晚了11分钟，不测了，把护士难为的不要不要的，医嘱已经下了，四段血糖，怎么跟老头说晚半个小时都没事，就是不听，这是我亲爹我没法揍他，给护士道完歉又去找管床大夫解释改医嘱，要是我工作中遇见我爸这种客户，早就不伺候了，护士太难了，转天还得像没事一样
96,动次打次rrr：如果有国外医务人员那样的工资和休假，自然会抢着去学的
97,陈二为：学护理的表示，有关系的学护理，有实力的学护理，只要不后悔。作为护理的学生，表示后悔死了，工作难找工资少
98,adore秋秋：为什么没人选大家心里都清楚
99,草莓味的巧克力乖：说真的，别再害人了！那你咋不让自己的子孙去报？？？不是说这个职业不好，而是现在行业环境不好，医护的生命没有保障，没有任何好的待遇，累死累活有的时候出事医院还会撇清关系，你让谁干临床？？？？清醒一点，你把医护的待遇提高了，职业尊严提高了，谁会不干？？？现在医闹来住院当大爷
100,Crystal_Kevin：念稿念的眼睛都不抬一下，我们老百姓还呼吁你们看事实做实事呢。你怎么不呼吁自己子女报护理呢，站着说话不腰疼.我朋友在人民医院累到崩溃然而奖金绩效医院一拖就是大半年说不发就不发这样的强盗逻辑太普遍了.
101,cosy_小钰：再给我个机会我打死也不会选择这辣鸡专业的
102,林克林克ke：哈哈哈哈 再给我一次机会我一定不会选择护理，害被叫服务员的感受，被歧视的感受...就连考研调剂也是歧视，我真不知道自己还能干什么 二战吧孩子
103,YKYB-丁壳：要提升护士在社会和行业里的认可度，并且要有良好待遇和条件，才会有更多人愿意去学
104,非著名de八倍镜：20年工龄  3000多块工资 无奖金无年终  当然大部分患者家属是好的   极个别看见你就跟你撒气   没惹到没态度不好的前提下冲你发火     不敢跟吵  要被投诉的
105,平凡而勇敢的温暖：提这建议的委员先让自己的宝贝孩子投身护理行业之后再建议别人家的普通孩子吧
106,朱古力朱古力啦：做了十年护理，能给考死，工资低，不被尊重，隔天一个夜班，重点是各种脏死人的奇葩护理我要是有女儿坚决不会同意再报考护理专业了
107,是星辰_ppsuc：学护理的都想逃职业崇高，但不热爱，如果有机会，肯定想转专业
108,hhhhha-ha：好工作是不需要呼吁的
109,趴趴熊Win：问题还有年假不能休，三甲医院，领导说人员少，没法休，你想休一个礼拜没门，只能一星期休3天，想出去玩都不行还要跟同事换班，玩回来还要还班，有可能是连上那种，谁让你跟同事换班了呢……连着3年没旅游过了，工作压力大，抑郁症特别容易有……
110,KKKjhhs：说护理行业好的都没做过护理工作
