日期,内容
2020-05-25,相差其实很大
2020-05-25,有人吗
2020-05-25,好漂亮啊
2020-05-25,舒院士
2020-05-25,舒院士帮帮
2020-05-25,有弹幕吗
2020-05-25,舒服
2020-05-25,哇撒，所长是漂亮小姐姐～(￣▽￣～)~
2020-05-25,舒适
2020-05-25,好看。
2020-05-25,这是嫁给导师的那位所长吗？
2020-05-25,lll
2020-05-25,好看！
2020-05-25,很高吗？才96
2020-05-26,学阀世家
2020-05-26,戏子
2020-05-26,艺术生
2020-05-26,记者这个问题是尖锐，但是问的好哈哈哈哈
2020-05-26,都说好看？？？？我怎么感觉一般？就是做所长确实年轻
2020-05-26,输宏冰
2020-05-26,懂了
2020-05-26,打保护的去了解了解在发好吗
2020-05-26,这记者是自己人吗？
2020-05-26,高三理科生表示soeasy
2020-05-26,这么年轻就当所长了？！！！！！
2020-05-26,人工改造？玉皇大帝下凡？（狗头
2020-05-26,大提琴所长
2020-05-26,前面的说人为改造的，你生物白学了吗？
2020-05-26,声音好好听
2020-05-26,弹幕酸死了
2020-05-26,艺术生，没高考准考证
2020-05-26,大提琴特长生你来啦
2020-05-26,感觉今年高考好多知识点鸭
2020-05-26,随机性
2020-05-26,理科生学了高中生物的应该都能懂吧
2020-05-26,这家伙怎么还是所长
2020-05-26,所长好年轻
2020-05-26,王所长气质！
2020-05-26,所长漂亮
2020-05-26,是的
2020-05-26,临床经验丰富
2020-05-26,画重点………仔猪
2020-05-26,这是央视国际台
2020-05-26,因为这是翻译
2020-05-26,哟，艺术生啊[doge]全才啊
2020-05-26,？？？？？
2020-05-26,保护
2020-05-26,保护
2020-05-26,50年都难进化成
2020-05-26,弹幕什么意思啊，自己人怀疑自己人？
2020-05-26,你为疫情做贡献了吗
2020-05-26,想给外行科普我们所做的科研太难了这个差异在我们看来天差地别...
2020-05-26,一切都是一场阴谋
2020-05-26,舒校长现在很慌
2020-05-26,前面那个相似率那个，人类和猩猩，猴子都比96高
2020-05-26,这个艺术生可以
2020-05-26,确实可以弄高考题，一开文就给你一堆听不懂的文字
2020-05-26,美国去年关了几个生化实验室很可疑
2020-05-26,特朗普：China
2020-05-26,贼喊捉贼美利坚
2020-05-26,王所长
2020-05-26,英文好评发到外网让他们多看见
2020-05-26,问题恰恰在于自然进化需要这么久，如果人为改造呢？
2020-05-26,保护
2020-05-26,我以为会回应饶毅举报事件
2020-05-26,我就单纯好奇啊，没别的意思，这个相似度80%是怎么个概念，有没有懂得解释一下
2020-05-26,红色，我笑了
2020-05-26,*
2020-05-26,她来了她来了艺术特长生她来了！
2020-05-26,保护
2020-05-26,有可能，然后变异进化
2020-05-26,记者问的问题都挺准的
2020-05-26,？？？？
2020-05-26,←小白
2020-05-26,年轻漂亮，好厉害啊
2020-05-26,据说所长是艺术生，这是对科研工作者极大的侮辱啊
2020-05-26,p4负责人是中科院武汉分院院长袁志明
2020-05-26,是征没错
2020-05-26,播放6万了，评论260，希望你们不要对厅长有想法！
2020-05-26,高考要考的
2020-05-26,←左边的，自然突变是有一定的进化方向的，不是任意突变的。她想表达的是新冠和这个病毒之间不存在自然突变的联系。
2020-05-26,这个问题很好
2020-05-26,好孝
2020-05-26,这是那个艺术生吗？果真长的可以
2020-05-26,你不懂你点什么头啊
2020-05-26,几百万猿类跟人类都没拉开多大差距
2020-05-26,发声总比闷着好
2020-05-26,人和大猩猩基因相似程度都有有97%呢
2020-05-26,建国:fakenews
2020-05-26,艺术生，你来了
2020-05-26,人和香蕉都有一半基因相似呢，这说明是完全不同的病毒
2020-05-26,这就是高考关系户，现在所长吗？
2020-05-26,懂的都懂，不懂的还是不懂
2020-05-26,感谢科普
2020-05-26,虽然我懵了，但我觉得说的对
2020-05-26,保护
2020-05-26,保护
2020-05-26,前排保护
2020-05-26,舒红兵
2020-05-26,大提琴
2020-05-26,高考不考这个，学医的害怕
2020-05-26,还好意思出来？
2020-05-26,分不清艺术生和艺术特长生？
2020-05-26,艺术生气质是不一样嗷
2020-05-26,问问美国我不信他们什么都不知道
2020-05-26,无中生有？
2020-05-26,好像是WIV1，当时发表在nature上
2020-05-26,这个问题其实蛮尖锐的，关系到一个病毒库管理统计的问题
2020-05-26,这句话有点败笔了...这个突变不是指哪儿打哪儿，而且打哪儿指哪儿
2020-05-26,其实从病毒基因组大小看，96%算很接近了
2020-05-26,美国制造
2020-05-26,现有的病毒，有可能泄露吗
2020-05-26,征字写错了吗
2020-05-26,时光机
2020-05-26,1：42的英语翻译错了，应该翻成covid-19
2020-05-26,那是谁说蝙蝠的，现在都说是蝙蝠啊
2020-05-26,弹幕来了！！！
2020-05-26,高考画重点
2020-05-26,2333333
2020-05-26,你美国敢开放特里克堡生化研究所吗？
2020-05-26,sans
2020-05-26,98%左右
2020-05-26,颜值确实是高。。
2020-05-26,相当于单体常染色体1%的序列（中国以前参与的测序数就是1%）
2020-05-26,川普:FAKENEWSNEXT(手动doge)
2020-05-26,讲个恐怖的东西，人和猩猩的基因相似度达到了98.8％
2020-05-26,国外的政客别有用心
2020-05-26,有证据就发出来，没证据就别逼逼
2020-05-26,有证据吗，发出来。
2020-05-26,高考题
2020-05-26,看来是RaTG13整合到蝙蝠细胞基因组的情况下测得了序列
2020-05-26,都是次方的可能性
2020-05-26,这不是一个人换了套衣服吗？
2020-05-26,假报道，下一个（doge）
2020-05-26,老艺术生了
2020-05-26,说的好明白了
2020-05-26,保密画质
2020-05-26,哈哈哈不知道为什么有些想笑
2020-05-26,02.
2020-05-26,人和猩猩还98%呢
2020-05-26,福尔摩斯？
2020-05-26,特长
2020-05-26,大提琴所长
2020-05-26,全凭努力王所长
2020-05-26,23333
2020-05-26,你又没她的学历，同样外貌也比不上人家，就开始看留言就诋毁女科学家
2020-05-26,纠正新冠（一声）病毒
2020-05-26,可以看看采访内容吗？
2020-05-26,弹幕恶意太大了吧
2020-05-26,保护
2020-05-26,我相信
2020-05-26,基因突变具有不定向性，低频性
2020-05-26,姐姐好好看
2020-05-26,有
2020-05-26,我觉得时间会告诉我答案
2020-05-26,特朗普；莫有人比我更懂中国（狗头）
2020-05-26,所长这么年轻啊
2020-05-26,4的1100次方
2020-05-26,差很远啊
2020-05-26,嗯
2020-05-26,所长颜值好高
2020-05-26,DNASTAR+MAGE5直呼内行
2020-05-26,你是在无中生有
2020-05-26,什么鬼
2020-05-26,老艺术生了
2020-05-26,讲个笑话美国绅士
2020-05-26,这个提问也很有针对性啊
2020-05-26,哇，這兩人聲音好像
2020-05-26,人和大猩猩基因相似好像都比96高吧？
2020-05-26,阴谋论不就是这样吗，专业知识啥也不懂，反正就靠主观臆断在网络上大呼小叫
2020-05-26,好漂亮的小姐姐
2020-05-26,谢谢科普
2020-05-26,好年轻啊
2020-05-26,受到一万点暴击
2020-05-26,握草辛苦啊！
2020-05-26,美国全球各地那么多生物实验室，他们给解释了吗？
2020-05-26,什么时候检测完的？
2020-05-26,非医学生的纯文科生理解了
2020-05-26,所以好好起名字，不然被人抓把柄
2020-05-26,有
2020-05-26,美国说我们坐时光机偷的
2020-05-26,那从这段对话得出其中的一个结论是，还不确定是来自于蝙蝠。。。
2020-05-26,回答得很清楚了
2020-05-26,我们正面回应了，美国也请正面回应它的实验室的问题
2020-05-26,相差其实很大
2020-05-26,有人吗
2020-05-26,好漂亮啊
2020-05-26,舒院士
2020-05-26,舒院士帮帮
2020-05-26,有弹幕吗
2020-05-26,舒服
2020-05-26,哇撒，所长是漂亮小姐姐～(￣▽￣～)~
2020-05-26,舒适
2020-05-26,好看。
2020-05-26,这是嫁给导师的那位所长吗？
2020-05-26,lll
2020-05-26,好看！
2020-05-26,很高吗？才96
2020-05-27,你们酸什么，人家真的是凭自己努力当上所长的（狗头）
2020-05-27,上面有人吗？？？！！！
2020-05-27,保护个鬼
2020-05-27,学阀世家
2020-05-27,戏子
2020-05-27,艺术生
2020-05-27,记者这个问题是尖锐，但是问的好哈哈哈哈
2020-05-27,都说好看？？？？我怎么感觉一般？就是做所长确实年轻
2020-05-27,输宏冰
2020-05-27,懂了
2020-05-27,打保护的去了解了解在发好吗
2020-05-27,这记者是自己人吗？
2020-05-27,高三理科生表示soeasy
2020-05-27,这么年轻就当所长了？！！！！！
2020-05-27,人工改造？玉皇大帝下凡？（狗头
2020-05-27,大提琴所长
2020-05-27,前面的说人为改造的，你生物白学了吗？
2020-05-27,声音好好听
2020-05-27,弹幕酸死了
2020-05-27,艺术生，没高考准考证
2020-05-27,大提琴特长生你来啦
2020-05-27,感觉今年高考好多知识点鸭
2020-05-27,随机性
2020-05-27,理科生学了高中生物的应该都能懂吧
2020-05-27,这家伙怎么还是所长
2020-05-27,所长好年轻
2020-05-27,王所长气质！
2020-05-27,所长漂亮
2020-05-27,是的
2020-05-27,临床经验丰富
2020-05-27,画重点………仔猪
2020-05-27,这是央视国际台
2020-05-27,因为这是翻译
2020-05-27,哟，艺术生啊[doge]全才啊
2020-05-27,？？？？？
2020-05-27,保护
2020-05-27,保护
2020-05-27,50年都难进化成
2020-05-27,弹幕什么意思啊，自己人怀疑自己人？
2020-05-27,你为疫情做贡献了吗
2020-05-27,想给外行科普我们所做的科研太难了这个差异在我们看来天差地别...
2020-05-27,一切都是一场阴谋
2020-05-27,舒校长现在很慌
2020-05-27,前面那个相似率那个，人类和猩猩，猴子都比96高
2020-05-27,这个艺术生可以
2020-05-27,确实可以弄高考题，一开文就给你一堆听不懂的文字
2020-05-27,美国去年关了几个生化实验室很可疑
2020-05-27,特朗普：China
2020-05-27,贼喊捉贼美利坚
2020-05-27,王所长
2020-05-27,英文好评发到外网让他们多看见
2020-05-27,问题恰恰在于自然进化需要这么久，如果人为改造呢？
2020-05-27,保护
2020-05-27,我以为会回应饶毅举报事件
2020-05-27,我就单纯好奇啊，没别的意思，这个相似度80%是怎么个概念，有没有懂得解释一下
2020-05-27,红色，我笑了
2020-05-27,*
2020-05-27,她来了她来了艺术特长生她来了！
2020-05-27,保护
2020-05-27,有可能，然后变异进化
2020-05-27,记者问的问题都挺准的
2020-05-27,？？？？
2020-05-27,←小白
2020-05-27,年轻漂亮，好厉害啊
2020-05-27,据说所长是艺术生，这是对科研工作者极大的侮辱啊
2020-05-27,p4负责人是中科院武汉分院院长袁志明
2020-05-27,是征没错
2020-05-27,播放6万了，评论260，希望你们不要对厅长有想法！
2020-05-27,高考要考的
2020-05-27,←左边的，自然突变是有一定的进化方向的，不是任意突变的。她想表达的是新冠和这个病毒之间不存在自然突变的联系。
2020-05-27,这个问题很好
2020-05-27,好孝
2020-05-27,这是那个艺术生吗？果真长的可以
2020-05-27,你不懂你点什么头啊
2020-05-27,几百万猿类跟人类都没拉开多大差距
2020-05-27,发声总比闷着好
2020-05-27,人和大猩猩基因相似程度都有有97%呢
2020-05-27,建国:fakenews
2020-05-27,艺术生，你来了
2020-05-27,人和香蕉都有一半基因相似呢，这说明是完全不同的病毒
2020-05-27,这就是高考关系户，现在所长吗？
2020-05-27,懂的都懂，不懂的还是不懂
2020-05-27,感谢科普
2020-05-27,虽然我懵了，但我觉得说的对
2020-05-27,保护
2020-05-27,保护
2020-05-27,前排保护
2020-05-27,舒红兵
2020-05-27,大提琴
2020-05-27,高考不考这个，学医的害怕
2020-05-27,还好意思出来？
2020-05-27,分不清艺术生和艺术特长生？
2020-05-27,艺术生气质是不一样嗷
2020-05-27,问问美国我不信他们什么都不知道
2020-05-27,无中生有？
2020-05-27,好像是WIV1，当时发表在nature上
2020-05-27,这个问题其实蛮尖锐的，关系到一个病毒库管理统计的问题
2020-05-27,这句话有点败笔了...这个突变不是指哪儿打哪儿，而且打哪儿指哪儿
2020-05-27,其实从病毒基因组大小看，96%算很接近了
2020-05-27,美国制造
2020-05-27,现有的病毒，有可能泄露吗
2020-05-27,征字写错了吗
2020-05-27,时光机
2020-05-27,1：42的英语翻译错了，应该翻成covid-19
2020-05-27,那是谁说蝙蝠的，现在都说是蝙蝠啊
2020-05-27,弹幕来了！！！
2020-05-27,高考画重点
2020-05-27,2333333
2020-05-27,你美国敢开放特里克堡生化研究所吗？
2020-05-27,sans
2020-05-27,98%左右
2020-05-27,颜值确实是高。。
2020-05-27,相当于单体常染色体1%的序列（中国以前参与的测序数就是1%）
2020-05-27,川普:FAKENEWSNEXT(手动doge)
2020-05-27,讲个恐怖的东西，人和猩猩的基因相似度达到了98.8％
2020-05-27,国外的政客别有用心
2020-05-27,有证据就发出来，没证据就别逼逼
2020-05-27,有证据吗，发出来。
2020-05-27,高考题
2020-05-27,看来是RaTG13整合到蝙蝠细胞基因组的情况下测得了序列
2020-05-27,都是次方的可能性
2020-05-27,这不是一个人换了套衣服吗？
2020-05-27,假报道，下一个（doge）
2020-05-27,老艺术生了
2020-05-27,说的好明白了
2020-05-27,保密画质
2020-05-27,哈哈哈不知道为什么有些想笑
2020-05-27,02.
2020-05-27,人和猩猩还98%呢
2020-05-27,福尔摩斯？
2020-05-27,特长
2020-05-27,大提琴所长
2020-05-27,全凭努力王所长
2020-05-27,23333
2020-05-27,你又没她的学历，同样外貌也比不上人家，就开始看留言就诋毁女科学家
2020-05-27,纠正新冠（一声）病毒
2020-05-27,可以看看采访内容吗？
2020-05-27,弹幕恶意太大了吧
2020-05-27,保护
2020-05-27,我相信
2020-05-27,基因突变具有不定向性，低频性
2020-05-27,姐姐好好看
2020-05-27,有
2020-05-27,我觉得时间会告诉我答案
2020-05-27,特朗普；莫有人比我更懂中国（狗头）
2020-05-27,所长这么年轻啊
2020-05-27,4的1100次方
2020-05-27,差很远啊
2020-05-27,嗯
2020-05-27,所长颜值好高
2020-05-27,DNASTAR+MAGE5直呼内行
2020-05-27,你是在无中生有
2020-05-27,什么鬼
2020-05-27,老艺术生了
2020-05-27,讲个笑话美国绅士
2020-05-27,这个提问也很有针对性啊
2020-05-27,哇，這兩人聲音好像
2020-05-27,人和大猩猩基因相似好像都比96高吧？
2020-05-27,阴谋论不就是这样吗，专业知识啥也不懂，反正就靠主观臆断在网络上大呼小叫
2020-05-27,好漂亮的小姐姐
2020-05-27,谢谢科普
2020-05-27,好年轻啊
2020-05-27,受到一万点暴击
2020-05-27,握草辛苦啊！
2020-05-27,美国全球各地那么多生物实验室，他们给解释了吗？
2020-05-27,什么时候检测完的？
2020-05-27,非医学生的纯文科生理解了
2020-05-27,所以好好起名字，不然被人抓把柄
2020-05-27,有
2020-05-27,美国说我们坐时光机偷的
2020-05-27,那从这段对话得出其中的一个结论是，还不确定是来自于蝙蝠。。。
2020-05-27,回答得很清楚了
2020-05-27,我们正面回应了，美国也请正面回应它的实验室的问题
2020-05-27,相差其实很大
2020-05-27,有人吗
2020-05-27,好漂亮啊
2020-05-27,舒院士
2020-05-27,舒院士帮帮
2020-05-27,有弹幕吗
2020-05-27,舒服
