词语,tfidf值
平板,0.0004326094704396956
不怕死,0.0004326094704396956
团结,0.00043104115035221127
央视,0.00043084205502101294
再说,0.00043084205502101294
了你,0.00042809469473105075
侮辱性,0.00042802609387708473
人鲁迅,0.00042590234686698715
一些,0.00042521013273315653
民众,0.00042352299075304483
华为,0.0004225487850806329
讥笑,0.0004225487850806329
这是,0.0004204458071120252
外交官,0.00041957821044530017
国徽翻译,0.0004191952232942787
PR,0.0004191952232942787
能力,0.0004191952232942787
提高,0.0004185108843536005
国徽保护保护保护,0.00041584166150792447
粮食,0.00041584166150792447
言论,0.00041394628815744376
了北京,0.00041394628815744376
每天,0.0004124880997215702
做菜,0.0004124880997215702
美帝,0.0004124880997215702
5000,0.0004124880997215702
了我要,0.00040913453793521603
重要,0.0004057809761488618
更新,0.00040268244358173104
生日快乐,0.00040242741436250754
友军美国,0.00040242741436250754
？?,0.00040242741436250754
？小,0.00040242741436250754
？互相,0.00040242741436250754
所以,0.00040062337742210633
了不是,0.00039986648243780284
后面,0.00039986648243780284
一圈,0.00039907385257615335
喊话,0.00039907385257615335
被迫,0.00039907385257615335
！这,0.00039708770671691265
哪个,0.00039705052129387463
影响,0.0003957202907897991
揣着,0.0003957202907897991
蔑视,0.0003942345601499464
这句,0.0003937555480948702
大洲,0.00039236672900344485
啊保护,0.00039236672900344485
最前沿,0.00039236672900344485
踩请,0.00039236672900344485
战术,0.0003914185990060183
了自由,0.0003914185990060183
剪辑,0.0003914185990060183
小哥,0.00038901316721709066
传播,0.0003884382459569346
所有,0.00038578667671816186
证据,0.00038578667671816186
英文,0.0003856596054307364
卡里,0.0003856596054307364
敌对,0.0003856596054307364
特别,0.00038459844232522207
裂开,0.00038230604364438217
精锐,0.00038230604364438217
留学生,0.00038230604364438217
抗中,0.00038230604364438217
解锁,0.00038230604364438217
方方,0.000378952481858028
城市,0.00037841403315804596
美丽,0.0003773387932863773
方言,0.0003755989200716737
花钱,0.0003755989200716737
胡佛,0.0003755989200716737
认为,0.00037452283214244915
照顾,0.00037452283214244915
生化,0.00037452283214244915
脑子,0.00037340192675860165
巴掌,0.0003722453582853195
！前方,0.0003722453582853195
了黑人,0.0003722453582853195
香上,0.0003722453582853195
综合,0.0003722453582853195
雪花,0.0003722453582853195
了解,0.00037160614264951716
外国人,0.00037086278367074984
放弃,0.00036889179649896524
！奥力,0.00036889179649896524
很快,0.00036889090985459274
一次,0.0003683898203591573
确实,0.00036612958870526393
人数,0.00036588376715943516
公立医院,0.000365538234712611
内味,0.00036337771395971303
？哈哈哈,0.0003632589875667364
脊梁,0.0003621846729262568
我要,0.0003604430264228082
救活,0.00035883111113990256
拜登,0.00035883111113990256
女生,0.00035883111113990256
！你,0.00035836560756026867
？我,0.0003571271250162776
！这个,0.00035674189694353647
认真,0.00035585955436054654
抗疫,0.00035585955436054654
老外,0.00035585955436054654
买票,0.0003554775493535483
撤离,0.0003554775493535483
！英雄,0.0003554775493535483
领导人,0.0003554775493535483
太惨,0.0003521239875671941
牛批,0.0003521239875671941
了营销,0.0003521239875671941
一架,0.0003521239875671941
哈哈哈哈哈,0.0003519951429910236
只要,0.0003491791818470954
不敢,0.00034636322070316725
凯旋,0.00034541686399448563
抢钱,0.00034206330220813144
待遇,0.00034206330220813144
野味,0.00034206330220813144
世上,0.00034206330220813144
了110,0.0003387097404217772
敌方,0.0003387097404217772
艾滋病,0.0003387097404217772
最牛,0.0003387097404217772
发言人,0.0003387097404217772
憔悴,0.00033535617863542295
党委书记,0.00033535617863542295
？自满,0.00033535617863542295
河北,0.0003350993761274545
态度,0.0003350993761274545
准备,0.00033330507556304713
鲁迅,0.00033200261684906876
哈哈哈奶奶,0.00033200261684906876
敌人,0.00033200261684906876
和田,0.00033200261684906876
值得,0.0003294674538395981
卧底,0.0003286490550627145
现实,0.0003286490550627145
汤逊湖,0.0003286490550627145
挺身而出,0.0003286490550627145
王聪,0.0003286490550627145
好听,0.0003286490550627145
王思聪,0.0003286490550627145
阵风,0.0003286490550627145
三个,0.00032829296916360277
发现,0.00032736653126492116
声音,0.00032701340553157514
！建国,0.00032529549327636026
标准,0.00032529549327636026
最强,0.00032529549327636026
救灾,0.00032529549327636026
你谢谢,0.00032529549327636026
亲切,0.00032529549327636026
一路,0.00032194193149000607
群童,0.00032194193149000607
卡巴,0.00032194193149000607
实在,0.00032194193149000607
市内,0.00032194193149000607
骗局,0.00032194193149000607
H1N1,0.00032101957040781356
啊菩萨,0.00031858836970365177
喝成,0.00031858836970365177
名字,0.00031826875636471416
爆发,0.00031820942549527304
了这个,0.000315920149052861
稿子,0.0003152348079172976
啊我,0.0003152348079172976
给奥力,0.0003152348079172976
养家,0.0003152348079172976
！白眼,0.0003152348079172976
新天地,0.0003152348079172976
有人,0.0003143938859534332
了是,0.000312571686976029
口罩这,0.00030975572583210074
好这个,0.00030975572583210074
心里,0.00030905231972562486
空间我要,0.0003085276843445891
奥力,0.0003085276843445891
？这是,0.0003085276843445891
过年,0.0003085276843445891
tm,0.00030790223248102855
中国通,0.0003069397646881726
淳朴,0.0003051741225582349
注意安全,0.0003051741225582349
一点,0.0003036553051364626
过去,0.0003032324371663812
律师,0.00030182056077188065
